territory,region,population2000,population2010,population2014,population2025,population2050,undernourished,landArea,farmLand2000,farmLand2009,organic,gmo
Territory,Region,2000 Population in 1000s,2010 Population in 1000s,2014 Population in 1000s,2025 Population in 1000s,2050 Population in 1000s,Undernourished (1000's of people in 1990),Land Area (km^2), Farm Land Percent in 2000, Farm Land Percent in 2009,organic,gmo
Micronesia,OCEANIA,107,104,104,204,269,1,3170,32,31,0,0
Moldova,EUROPE,4201,4084,4072,4052,3577,44,32850,77,75,1,0
Monaco,EUROPE,32,37,38,39,38,0,2,0,0,0,0
Mongolia,EAST_ASIA,2397,2713,2910,3478,4146,655,1553560,84,73,0,0
Montenegro,EUROPE,614,622,625,750,900,6,13450,30,38,2,0
Morocco,MIDDLE_EAST,28951,32108,33921,42002,50361,1497,446300,69,67,0,0
Mozambique,SUB_SAHARAN,18265,24321,27216,28012,38837,7355,786380,61,63,0,0
Myanmar,SOUTH_ASIA,47670,51733,53437,60243,68546,26464,653290,17,19,0,2
Namibia,SUB_SAHARAN,1898,2194,2403,2776,3662,509,823290,47,47,2,0
Nauru,OCEANIA,10,10,10,20,26,0,20,0,0,0,0
Nepal,SOUTH_ASIA,23740,26876,28175,38706,52415,4311,143350,30,29,0,0
Netherlands,EUROPE,15894,16632,16868,16571,15845,149,33720,58,57,5,0
New Zealand,OCEANIA,3858,4369,4495,4302,4439,34,263310,59,44,25,0
Nicaragua,MIDDLE_AMERICA,5027,5738,6014,8606,11477,2238,120340,43,42,2,0
Niger,SUB_SAHARAN,11225,16292,19114,25725,51872,2215,1266700,29,35,0,0
Nigeria,SUB_SAHARAN,122877,159425,177476,202957,278788,20080,910770,78,76,0,0
North Korea,EAST_ASIA,22840,24501,25027,25872,28038,4645,120410,21,22,0,0
Norway,EUROPE,4492,4891,5148,4800,4880,42,365268,3,3,7,0
Oman,MIDDLE_EAST,2239,2944,4236,5411,8751,18,309500,4,5,0,0
Pakistan,SOUTH_ASIA,138250,170044,185044,250981,344170,26902,770880,48,46,0,13
Palau,OCEANIA,19,20,21,30,39,0,460,11,11,0,0
Panama,MIDDLE_AMERICA,3029,3621,3868,3779,4262,642,74340,30,30,1,0
Papua New Guinea,OCEANIA,5374,6848,7464,8023,10980,42,452860,2,3,1,0
Paraguay,SOUTH_AMERICA,5303,6210,6553,9355,12565,843,397300,51,53,1,89
Peru,SOUTH_AMERICA,25915,29374,30973,35518,42122,6985,1280000,18,19,4,0
Philippines,OCEANIA,77932,93039,99139,107073,128383,16106,298170,38,41,1,8
Poland,EUROPE,38486,38575,38620,37254,33370,382,306230,60,51,5,0
Portugal,EUROPE,10279,10585,10402,9831,9006,99,91590,42,41,12,3
Puerto Rico,MIDDLE_AMERICA,3808,3726,3620,3400,3200,38,8958,28,28,0,0
Qatar,MIDDLE_EAST,593,1766,2172,754,831,5,11610,6,6,0,0
Romania,EUROPE,22128,20299,19652,20585,18150,235,230170,65,59,2,1
Russian Federation,RUSSIA,146401,143158,143429,125687,104258,1476,16376870,13,13,0,0
Rwanda,SUB_SAHARAN,8022,10294,11342,12883,18523,4066,24670,68,73,0,0
Saint Kitts and Nevis,MIDDLE_AMERICA,46,52,55,34,34,0,260,37,21,0,0
Saint Lucia,MIDDLE_AMERICA,157,177,184,179,189,1,610,23,17,0,0
Saint Vincent and the Grenadines,MIDDLE_AMERICA,108,109,109,129,138,23,390,26,26,0,0
Samoa,OCEANIA,175,186,192,200,223,18,2830,17,12,96,0
San Marino,EUROPE,27,31,32,32,30,0,60,17,17,0,0
Sao Tome and Principe,SUB_SAHARAN,137,171,186,208,294,26,960,51,51,9,0
Saudi Arabia,MIDDLE_EAST,21392,28091,30887,40473,59683,818,2149690,81,81,1,0
Senegal,SUB_SAHARAN,9861,12957,14673,16511,22711,1879,192530,47,50,0,0
Serbia,EUROPE,9463,9059,8893,8893,8893,95,87460,0,58,0,0
Seychelles,SUB_SAHARAN,81,93,96,110,145,1,460,9,6,0,0
Sierra Leone,SUB_SAHARAN,4061,5776,6316,9052,14351,1690,72180,39,53,0,0
Singapore,OCEANIA,3918,5079,5507,4998,4620,30,700,2,1,0,0
Slovakia,EUROPE,5386,5407,5423,5317,4674,53,48088,51,40,12,4
Slovenia,EUROPE,1989,2052,2066,1847,1527,20,20140,26,23,16,0
Solomon Islands,OCEANIA,412,526,572,943,1458,78,27990,3,4,1,0
Somalia,SUB_SAHARAN,7385,9582,10518,21192,40936,63,627340,70,70,0,0
South Africa,SUB_SAHARAN,44897,51622,53969,43772,47301,1840,1213090,81,80,0,22
