Latitude, Longitude
-46.875,-69.625
-46.875,-69.375
-46.875,-69.125
-46.875,-68.875
-46.875,-68.625
-46.875,-68.375
-46.875,-68.125
-46.875,-67.875
-46.875,-67.625
-46.875,-67.375
-46.875,-67.125
-46.625,169.125
-46.625,-75.625
-46.625,-75.375
-46.625,-74.875
-46.625,-74.625
-46.625,-74.375
-46.625,-74.125
-46.625,-73.875
-46.625,-73.625
-46.625,-73.375
-46.625,-73.125
-46.625,-72.875
-46.625,-72.625
-46.625,-72.375
-46.625,-72.125
-46.625,-71.875
-46.625,-71.625
-46.625,-71.375
-46.625,-71.125
-46.625,-70.875
-46.625,-70.625
-46.625,-70.375
-46.625,-70.125
-46.625,-69.875
-46.625,-69.625
-46.625,-69.375
-46.625,-69.125
-46.625,-68.875
-46.625,-68.625
-46.625,-68.375
-46.625,-68.125
-46.625,-67.875
-46.625,-67.625
-46.625,-67.375
-46.375,168.375
-46.375,168.625
-46.375,168.875
-46.375,169.125
-46.375,169.375
-46.375,169.625
-46.375,-75.125
-46.375,-74.875
-46.375,-74.625
-46.375,-74.375
-46.375,-74.125
-46.375,-73.875
-46.375,-73.625
-46.375,-73.375
-46.375,-73.125
-46.375,-72.875
-46.375,-72.625
-46.375,-72.375
-46.375,-72.125
-46.375,-71.875
-46.375,-71.625
-46.375,-71.375
-46.375,-71.125
-46.375,-70.875
-46.375,-70.625
-46.375,-70.375
-46.375,-70.125
-46.375,-69.875
-46.375,-69.625
-46.375,-69.375
-46.375,-69.125
-46.375,-68.875
-46.375,-68.625
-46.375,-68.375
-46.375,-68.125
-46.375,-67.875
-46.375,-67.625
-46.125,166.875
-46.125,167.125
-46.125,167.375
-46.125,167.625
-46.125,167.875
-46.125,168.125
-46.125,168.375
-46.125,168.625
-46.125,168.875
-46.125,169.125
-46.125,169.375
-46.125,169.625
-46.125,169.875
-46.125,170.125
-46.125,-74.875
-46.125,-74.625
-46.125,-74.375
-46.125,-74.125
-46.125,-73.875
-46.125,-73.625
-46.125,-73.375
-46.125,-73.125
-46.125,-72.875
-46.125,-72.625
-46.125,-72.375
-46.125,-72.125
-46.125,-71.875
-46.125,-71.625
-46.125,-71.375
-46.125,-71.125
-46.125,-70.875
-46.125,-70.625
-46.125,-70.375
-46.125,-70.125
-46.125,-69.875
-46.125,-69.625
-46.125,-69.375
-46.125,-69.125
-46.125,-68.875
-46.125,-68.625
-46.125,-68.375
-46.125,-68.125
-46.125,-67.875
-46.125,-67.625
-45.875,166.625
-45.875,166.875
-45.875,167.125
-45.875,167.375
-45.875,167.625
-45.875,167.875
-45.875,168.125
-45.875,168.375
-45.875,168.625
-45.875,168.875
-45.875,169.125
-45.875,169.375
-45.875,169.625
-45.875,169.875
-45.875,170.125
-45.875,170.375
-45.875,170.625
-45.875,-74.875
-45.875,-74.625
-45.875,-74.375
-45.875,-74.125
-45.875,-73.875
-45.875,-73.375
-45.875,-73.125
-45.875,-72.875
-45.875,-72.625
-45.875,-72.375
-45.875,-72.125
-45.875,-71.875
-45.875,-71.625
-45.875,-71.375
-45.875,-71.125
-45.875,-70.875
-45.875,-70.625
-45.875,-70.375
-45.875,-70.125
-45.875,-69.875
-45.875,-69.625
-45.875,-69.375
-45.875,-69.125
-45.875,-68.875
-45.875,-68.625
-45.875,-68.375
-45.875,-68.125
-45.875,-67.875
-45.875,-67.625
-45.625,166.875
-45.625,167.125
-45.625,167.375
-45.625,167.625
-45.625,167.875
-45.625,168.125
-45.625,168.375
-45.625,168.625
-45.625,168.875
-45.625,169.125
-45.625,169.375
-45.625,169.625
-45.625,169.875
-45.625,170.125
-45.625,170.375
-45.625,170.625
-45.625,-74.625
-45.625,-74.375
-45.625,-73.625
-45.625,-73.375
-45.625,-73.125
-45.625,-72.875
-45.625,-72.625
-45.625,-72.375
-45.625,-72.125
-45.625,-71.875
-45.625,-71.625
-45.625,-71.375
-45.625,-71.125
-45.625,-70.875
-45.625,-70.625
-45.625,-70.375
-45.625,-70.125
-45.625,-69.875
-45.625,-69.625
-45.625,-69.375
-45.625,-69.125
-45.625,-68.875
-45.625,-68.625
-45.625,-68.375
-45.625,-68.125
-45.625,-67.875
-45.625,-67.625
-45.625,-67.375
-45.375,167.375
-45.375,167.625
-45.375,167.875
-45.375,168.125
-45.375,168.375
-45.375,168.625
-45.375,168.875
-45.375,169.125
-45.375,169.375
-45.375,169.625
-45.375,169.875
-45.375,170.125
-45.375,170.375
-45.375,170.625
-45.375,170.875
-45.375,-74.375
-45.375,-72.875
-45.375,-72.625
-45.375,-72.375
-45.375,-72.125
-45.375,-71.875
-45.375,-71.625
-45.375,-71.375
-45.375,-71.125
-45.375,-70.875
-45.375,-70.625
-45.375,-70.375
-45.375,-70.125
-45.375,-69.875
-45.375,-69.625
-45.375,-69.375
-45.375,-69.125
-45.375,-68.875
-45.375,-68.625
-45.375,-68.375
-45.375,-68.125
-45.375,-67.875
-45.375,-67.625
-45.375,-67.375
-45.375,-67.125
-45.125,167.125
-45.125,167.375
-45.125,167.625
-45.125,167.875
-45.125,168.125
-45.125,168.375
-45.125,168.625
-45.125,168.875
-45.125,169.125
-45.125,169.375
-45.125,169.625
-45.125,169.875
-45.125,170.125
-45.125,170.375
-45.125,170.625
-45.125,170.875
-45.125,-74.125
-45.125,-73.875
-45.125,-73.375
-45.125,-73.125
-45.125,-72.875
-45.125,-72.625
-45.125,-72.375
-45.125,-72.125
-45.125,-71.875
-45.125,-71.625
-45.125,-71.375
-45.125,-71.125
-45.125,-70.875
-45.125,-70.625
-45.125,-70.375
-45.125,-70.125
-45.125,-69.875
-45.125,-69.625
-45.125,-69.375
-45.125,-69.125
-45.125,-68.875
-45.125,-68.625
-45.125,-68.375
-45.125,-68.125
-45.125,-67.875
-45.125,-67.625
-45.125,-67.375
-45.125,-67.125
-45.125,-66.875
-45.125,-66.625
-44.875,167.375
-44.875,167.625
-44.875,167.875
-44.875,168.125
-44.875,168.375
-44.875,168.625
-44.875,168.875
-44.875,169.125
-44.875,169.375
-44.875,169.625
-44.875,169.875
-44.875,170.125
-44.875,170.375
-44.875,170.625
-44.875,170.875
-44.875,171.125
-44.875,-74.375
-44.875,-74.125
-44.875,-73.875
-44.875,-72.875
-44.875,-72.625
-44.875,-72.375
-44.875,-72.125
-44.875,-71.875
-44.875,-71.625
-44.875,-71.375
-44.875,-71.125
-44.875,-70.875
-44.875,-70.625
-44.875,-70.375
-44.875,-70.125
-44.875,-69.875
-44.875,-69.625
-44.875,-69.375
-44.875,-69.125
-44.875,-68.875
-44.875,-68.625
-44.875,-68.375
-44.875,-68.125
-44.875,-67.875
-44.875,-67.625
-44.875,-67.375
-44.875,-67.125
-44.875,-66.875
-44.875,-66.625
-44.875,-66.375
-44.875,-66.125
-44.875,-65.875
-44.875,-65.625
-44.625,168.125
-44.625,168.375
-44.625,168.625
-44.625,168.875
-44.625,169.125
-44.625,169.375
-44.625,169.625
-44.625,169.875
-44.625,170.125
-44.625,170.375
-44.625,170.625
-44.625,170.875
-44.625,171.125
-44.625,-74.375
-44.625,-74.125
-44.625,-73.375
-44.625,-73.125
-44.625,-72.875
-44.625,-72.625
-44.625,-72.375
-44.625,-72.125
-44.625,-71.875
-44.625,-71.625
-44.625,-71.375
-44.625,-71.125
-44.625,-70.875
-44.625,-70.625
-44.625,-70.375
-44.625,-70.125
-44.625,-69.875
-44.625,-69.625
-44.625,-69.375
-44.625,-69.125
-44.625,-68.875
-44.625,-68.625
-44.625,-68.375
-44.625,-68.125
-44.625,-67.875
-44.625,-67.625
-44.625,-67.375
-44.625,-67.125
-44.625,-66.875
-44.625,-66.625
-44.625,-66.375
-44.625,-66.125
-44.625,-65.875
-44.625,-65.625
-44.375,168.125
-44.375,168.375
-44.375,168.625
-44.375,168.875
-44.375,169.125
-44.375,169.375
-44.375,169.625
-44.375,169.875
-44.375,170.125
-44.375,170.375
-44.375,170.625
-44.375,170.875
-44.375,171.125
-44.375,-73.875
-44.375,-73.125
-44.375,-72.625
-44.375,-72.375
-44.375,-72.125
-44.375,-71.875
-44.375,-71.625
-44.375,-71.375
-44.375,-71.125
-44.375,-70.875
-44.375,-70.625
-44.375,-70.375
-44.375,-70.125
-44.375,-69.875
-44.375,-69.625
-44.375,-69.375
-44.375,-69.125
-44.375,-68.875
-44.375,-68.625
-44.375,-68.375
-44.375,-68.125
-44.375,-67.875
-44.375,-67.625
-44.375,-67.375
-44.375,-67.125
-44.375,-66.875
-44.375,-66.625
-44.375,-66.375
-44.375,-66.125
-44.375,-65.875
-44.375,-65.625
-44.375,-65.375
-44.125,168.375
-44.125,168.625
-44.125,168.875
-44.125,169.125
-44.125,169.375
-44.125,169.625
-44.125,169.875
-44.125,170.125
-44.125,170.375
-44.125,170.625
-44.125,170.875
-44.125,171.125
-44.125,171.375
-44.125,-73.125
-44.125,-72.875
-44.125,-72.625
-44.125,-72.375
-44.125,-72.125
-44.125,-71.875
-44.125,-71.625
-44.125,-71.375
-44.125,-71.125
-44.125,-70.875
-44.125,-70.625
-44.125,-70.375
-44.125,-70.125
-44.125,-69.875
-44.125,-69.625
-44.125,-69.375
-44.125,-69.125
-44.125,-68.875
-44.125,-68.625
-44.125,-68.375
-44.125,-68.125
-44.125,-67.875
-44.125,-67.625
-44.125,-67.375
-44.125,-67.125
-44.125,-66.875
-44.125,-66.625
-44.125,-66.375
-44.125,-66.125
-44.125,-65.875
-44.125,-65.625
-44.125,-65.375
-43.875,169.375
-43.875,169.625
-43.875,169.875
-43.875,170.125
-43.875,170.375
-43.875,170.625
-43.875,170.875
-43.875,171.125
-43.875,171.375
-43.875,171.625
-43.875,171.875
-43.875,172.125
-43.875,172.875
-43.875,-74.125
-43.875,-73.875
-43.875,-73.125
-43.875,-72.875
-43.875,-72.625
-43.875,-72.375
-43.875,-72.125
-43.875,-71.875
-43.875,-71.625
-43.875,-71.375
-43.875,-71.125
-43.875,-70.875
-43.875,-70.625
-43.875,-70.375
-43.875,-70.125
-43.875,-69.875
-43.875,-69.625
-43.875,-69.375
-43.875,-69.125
-43.875,-68.875
-43.875,-68.625
-43.875,-68.375
-43.875,-68.125
-43.875,-67.875
-43.875,-67.625
-43.875,-67.375
-43.875,-67.125
-43.875,-66.875
-43.875,-66.625
-43.875,-66.375
-43.875,-66.125
-43.875,-65.875
-43.875,-65.625
-43.875,-65.375
-43.625,169.625
-43.625,169.875
-43.625,170.125
-43.625,170.375
-43.625,170.625
-43.625,170.875
-43.625,171.125
-43.625,171.375
-43.625,171.625
-43.625,171.875
-43.625,172.125
-43.625,172.375
-43.625,172.625
-43.625,-72.875
-43.625,-72.625
-43.625,-72.375
-43.625,-72.125
-43.625,-71.875
-43.625,-71.625
-43.625,-71.375
-43.625,-71.125
-43.625,-70.875
-43.625,-70.625
-43.625,-70.375
-43.625,-70.125
-43.625,-69.875
-43.625,-69.625
-43.625,-69.375
-43.625,-69.125
-43.625,-68.875
-43.625,-68.625
-43.625,-68.375
-43.625,-68.125
-43.625,-67.875
-43.625,-67.625
-43.625,-67.375
-43.625,-67.125
-43.625,-66.875
-43.625,-66.625
-43.625,-66.375
-43.625,-66.125
-43.625,-65.875
-43.625,-65.625
-43.625,-65.375
-43.375,146.125
-43.375,146.375
-43.375,146.625
-43.375,146.875
-43.375,170.125
-43.375,170.375
-43.375,170.625
-43.375,170.875
-43.375,171.125
-43.375,171.375
-43.375,171.625
-43.375,171.875
-43.375,172.125
-43.375,172.375
-43.375,172.625
-43.375,-72.875
-43.375,-72.625
-43.375,-72.375
-43.375,-72.125
-43.375,-71.875
-43.375,-71.625
-43.375,-71.375
-43.375,-71.125
-43.375,-70.875
-43.375,-70.625
-43.375,-70.375
-43.375,-70.125
-43.375,-69.875
-43.375,-69.625
